,roaster,coffee_name,cost,roast_level,location,process,varietals,tasting_notes,rating
365,Joe,Great Heights,17.35,Medium Roast,"New York, NY",,Red Catuai,"Our Cold Brew Blend is specifically designed to taste amazing when brewed in this slow steeped method of brewing. We have found that really bright, fruit forward coffees don’t lend themselves as well to this method of brewing so we select coffees that are balanced and sweet.",0
366,Stay Golden,La Concordia,17.35,Medium Roast,"Nashville, TN","WashedSub RegionLa ConcordiaElevation1,200VarietyTypica, Bourbon, Caturra","Typica, Bourbon, Caturra","The agroclimate at La Concordia in Chiapas, Mexico is perfect for specialty coffee. During harvest season the weather is cold, extending fermentation time. In other times of the year it's very wet. The land is biodiverse, home to many types of vegetation and wild animals - such as jaguars. ",0
367,Stay Golden,Nueva Segovia,17.35,Medium-Dark Roast,"Nashville, TN","WashedSub RegionLas SegoviasElevation1,200 - 1,500VarietyMaragogype, Pacamara","Maragogype, Pacamara","Nueva Segovia is produced in Nicaragua, in a region bordering Honduras. This area is prized for it's high quality coffee. Smallholder farmers work to bring this coffee together for you. Most of them have as little as 2-10 hectares each. ",0
368,Irving Farm,71 House Blend,17.35,Medium Roast,"New York, NY","WashedElevation1350VarietyBourbon, Catuai, Caturra","Bourbon, Catuai, Caturra","Our signature House Blend was created as the hallmark coffee for our original cafe at 71 Irving Place. The blend has a chocolate, round, and smooth flavor. ",0
369,DOMA,Carmela's,17.35,Medium Roast,"Post Falls, ID","Washed, ","Brasil - Bourbon, Mundo Novo. Colombia - Caturra, Castillo, Typica. Guatemala - Pache, Caturra.","Carmela's will have aromas of brown sugar and almond, dark chocolate flavors, aftertastes of caramel, a mild acidity, smooth body and a balanced sweetness. This is the perfect coffee for anytime of day. We've been enjoying this blend as drip or with a French Press lately, but that's not to say it wouldn't make a killer espresso, because it does. ",0
370,Gimme!,Brazil Cerrado,17.35,Medium Roast,"Ithaca, NY",Pulped ,"Bourbon, Mundo Novo, Red and Yellow Catuai, Topazio","This coffee is from the Minas Gerais region of Brazil. Located in the plateaus of the Cerrado ecosystem, coffees from this region are known for their nutty, chocolaty flavor profiles, with this particular coffee showing exceptional consistency and a smooth body.",0
371,Klatch,Old World Venezia,17.35,Medium Roast,"Rancho Cucamonga, CA",WashedVarietyVarious,Various,"This full bodied blend will give you a taste of the romantic Italian cafes of Venice, as if you are sitting alongside the canals with a wonderful cup of coffee in your hand. Rich and smooth.",0
372,Atomic,Rocketeer,17.35,Medium Roast,"Salem, MA","WashedElevation1000VarietyBourbon, Catimor","Bourbon, Catimor","T-minus 20 seconds for liftoff... Rocketeer is our most popular offering, and for good reason. Roasted just a bit darker than House Blend (20 seconds to be exact), you can expect a smooth cup with great body, and notes of chocolate, cedar, and baking spices. One of our most versatile blends, Rocketeer is wonderful on many brew methods, and pairs well with milk.",0
373,Stay Golden,Hold Fast,17.35,Dark Roast,"Nashville, TN",WashedVarietyVarious,Various,"We'll be the first to admit that not everyday starts out on the right foot. That's something we can all relate to, right? But, if you're anything like us then taking even just a moment to stop and intentionally enjoy your first sip of coffee can really help set you on the right track. Remember there's good in the difficult moments. Hold Fast - because it won't always be like this. ",0
374,Caffe Vita,Papua New Guinea,17.35,Medium Roast,"Seattle, WA",,"Typica, Bourbon St Raymond","In collaboration with Woodland Park Zoo and Tree Kangaroo Conservation Program (TKCP), Caffe Vita presents this exclusive roast from the YUS Conservation Area of Papua New Guinea. Through a community based approach, TKCP has worked with local landowners to establish over 180,000 acres of protected land, home to the endangered Matschie’s tree kangaroo.",0
375,Irving Farm,Highline Blend,17.35,Light Roast,"New York, NY",WashedVarietyvaries,varies,"Our light roast offering raises the bar for a bright, delicate cup with sweet and tart notes. This coffee is certified Organic by Natural Food Certifiers. ",0
376,Klatch,Klatch's Best House Blend,17.35,Medium Roast,"Rancho Cucamonga, CA",WashedVarietyVarious,Various,"The perfect house coffee. This four bean blend is constructed with some of the world's finest Central and South American, and Indonesia coffees. This blend captures optimal peak flavor with its mellow, smooth and inviting aroma. Klatch House Blend executes the perfect balance and sweetness paired to create a quintessential Klatch coffee experience.",0
377,Sightglass,Organic Toketee,17.35,Medium-Dark Roast,"San Francisco, CA",WashedHarvest TimeSeasonallyVarietyVarious,Various,"Toketee is an elevated take on the classic drip blend, showcasing carefully curated, seasonally rotating coffees from Central and South America.",0
378,Oren's,Two Bridges,17.35,Light-Medium Roast,"New York, NY","WashedVarietyCaturra, Castillo, and Bourbon","Caturra, Castillo, and Bourbon","The City Blend is our lightest roast. It is blended from two fine varietals - They're not just blend half-and-half. Rather, they're blended in a 70%, 30% proportion.The special proportions of this blend create a surprising complexity to this medium-bodied coffee",0
379,Stay Golden,Paubrasil,17.35,Light-Medium Roast,"Nashville, TN",,Catuai,"Paubrasil is an example of a 100% traceable Brazilian coffee. Each container has a QR code that provides info on the producer and the growing practices. Each contributor signs a statement of good practices, abides by Brazilian labor laws and stores their coffee in certified warehouses. This gives us the peace of mind we need to purchase coffee from Brazil - and these extra steps are not just good, they're necessary.",0
380,Atomic,Black Velvet,17.35,Medium-Dark Roast,"Salem, MA","WashedElevation1000VarietyBourbon, Catimor","Bourbon, Catimor","Smooth as a witch’s cape, and potent as her magic. Black Velvet is a dark roast we developed specifically to hone in on the sugar-browning flavors created through maillard reactions during the roasting process. The result is a coffee that sips dreamy and smooth on your palate. If you want a dark roast that still has a sweet side, this one will cast its spell on you!",0
381,Greater Goods,Rise and Shine ,17.35,Dark Roast,"Austin, TX","WashedSub RegionCaucaProducerSmall HoldersHarvest Timeyear roundElevation1,400VarietyCatuai, Caturra, Castillo ","Catuai, Caturra, Castillo ","If you're going to rise, you might as well shine. And shining is easier than ever with this bold-but-not-bitter Nicaraguan and Colombian blend. Our darkest roast, this full-bodied coffee is heavy on the chocolate notes, with a dense mouthfeel and smooth finish. Shine on, you crazy, coffee-drinking diamond.",0
382,Oren's,Central Park,17.35,Medium-Dark Roast,"New York, NY","Washed, ",Caturra,"Our House Blend has a unique sweetness that is enhanced by its full body. The cup is complex, yet smooth. Intriguing. Full of flavor subtleties such that people come to enjoy this coffee more each time.",0
383,Joe,Great Heights,17.35,Medium Roast,"New York, NY",,Red Catuai,"Our Cold Brew Blend is specifically designed to taste amazing when brewed in this slow steeped method of brewing. We have found that really bright, fruit forward coffees don’t lend themselves as well to this method of brewing so we select coffees that are balanced and sweet.",0
384,Stay Golden,La Concordia,17.35,Medium Roast,"Nashville, TN","WashedSub RegionLa ConcordiaElevation1,200VarietyTypica, Bourbon, Caturra","Typica, Bourbon, Caturra","The agroclimate at La Concordia in Chiapas, Mexico is perfect for specialty coffee. During harvest season the weather is cold, extending fermentation time. In other times of the year it's very wet. The land is biodiverse, home to many types of vegetation and wild animals - such as jaguars. ",0
385,Stay Golden,Nueva Segovia,17.35,Medium-Dark Roast,"Nashville, TN","WashedSub RegionLas SegoviasElevation1,200 - 1,500VarietyMaragogype, Pacamara","Maragogype, Pacamara","Nueva Segovia is produced in Nicaragua, in a region bordering Honduras. This area is prized for it's high quality coffee. Smallholder farmers work to bring this coffee together for you. Most of them have as little as 2-10 hectares each. ",0
386,Irving Farm,71 House Blend,17.35,Medium Roast,"New York, NY","WashedElevation1350VarietyBourbon, Catuai, Caturra","Bourbon, Catuai, Caturra","Our signature House Blend was created as the hallmark coffee for our original cafe at 71 Irving Place. The blend has a chocolate, round, and smooth flavor. ",0
387,DOMA,Carmela's,17.35,Medium Roast,"Post Falls, ID","Washed, ","Brasil - Bourbon, Mundo Novo. Colombia - Caturra, Castillo, Typica. Guatemala - Pache, Caturra.","Carmela's will have aromas of brown sugar and almond, dark chocolate flavors, aftertastes of caramel, a mild acidity, smooth body and a balanced sweetness. This is the perfect coffee for anytime of day. We've been enjoying this blend as drip or with a French Press lately, but that's not to say it wouldn't make a killer espresso, because it does. ",0
388,Gimme!,Brazil Cerrado,17.35,Medium Roast,"Ithaca, NY",Pulped ,"Bourbon, Mundo Novo, Red and Yellow Catuai, Topazio","This coffee is from the Minas Gerais region of Brazil. Located in the plateaus of the Cerrado ecosystem, coffees from this region are known for their nutty, chocolaty flavor profiles, with this particular coffee showing exceptional consistency and a smooth body.",0
389,Klatch,Old World Venezia,17.35,Medium Roast,"Rancho Cucamonga, CA",WashedVarietyVarious,Various,"This full bodied blend will give you a taste of the romantic Italian cafes of Venice, as if you are sitting alongside the canals with a wonderful cup of coffee in your hand. Rich and smooth.",0
390,Atomic,Rocketeer,17.35,Medium Roast,"Salem, MA","WashedElevation1000VarietyBourbon, Catimor","Bourbon, Catimor","T-minus 20 seconds for liftoff... Rocketeer is our most popular offering, and for good reason. Roasted just a bit darker than House Blend (20 seconds to be exact), you can expect a smooth cup with great body, and notes of chocolate, cedar, and baking spices. One of our most versatile blends, Rocketeer is wonderful on many brew methods, and pairs well with milk.",0
391,Stay Golden,Hold Fast,17.35,Dark Roast,"Nashville, TN",WashedVarietyVarious,Various,"We'll be the first to admit that not everyday starts out on the right foot. That's something we can all relate to, right? But, if you're anything like us then taking even just a moment to stop and intentionally enjoy your first sip of coffee can really help set you on the right track. Remember there's good in the difficult moments. Hold Fast - because it won't always be like this. ",0
